name
CEREBRAL ABSCESS
CEREBRAL SPINAL FLUID
Cerebro spinal fluid
Cerebrospinal Fluid
Cerebrospinal Fluid LUMBAR FLUID ASPIRATE
Cerebrospinal Fluid ASPRIATE
Cervical Swab
CF SPECIMEN
CHEMO PORT TIP
Chemoport
CHEMOPORT SWAB
CHEMOPORT TIP
Chest Fluid
CHEST TISSUE
Chest TUBE
CHEST WALL COLLECTION
CLOT
CNS CATHETER TIP
CNS SHUNT
COLON ASPIRATE
colon WASH
COLOSTOMY DRAIN FLUID
Colostomy Site
COLOSTOMY SITE PUS SWAB
CONJUNCTIVAL SWAB
Cord Blood
CORNEA SCRAPPING
CORNEAL SCRAPING
Corneal Scrapings
CORNEAL SCRAPPING
CORNEAL ULCER
CSF
CSF lumbar
CSF LUMBAR PUNCTURE
CSF SHUNT
CULTURE TIP
CVP Line
CVP TIP
Cyst
Cyst Fluid
CYST SWAB
Cystoscopy Bladder
CYSTOSTOMY
Cystostomy Tube Fluid
DEBRIDEMENT SLOUGH & TISSUE
Decubitus ulcer
DIABETIC FOOT PUS SWAB
DIABETIC FOOT WOUND SWAB
DIABETIC ULCER
Dialysate
Dialysate peritoneal
DIALYSIS CATHETER TIP
Dialysis Fluid
DIALYSIS LINE
DISCHARGE
DIVERTICULAR ABSCESS
DRAIN
DRAIN FLUID
DRAIN SWAB
Drain tip
DRAIN TUBE
Drainage
Duodenal aspirate
Ear Abscess
EAR ASPIRATE
EAR DISCHARGE
EAR DISCHARGE SWAB
Ear Drainage
Endometrium
Endotracheal Aspirate
Endotracheal Secretion
Endotracheal Tip
Endotrachial Aspirate
ERCP
ERCP FLUID
ET
ET ASPIRATE
ET secretion
ET Secretions
ET SUCTION
ET TIP
Ethmoid sinus
eye
Eye Swab
EYE TISSUE
EYE VITREOUS FLUID
Eyelid
faeces
Feces
FEMORAL LINE
FEMORAL TIP
Fetal Scalp Vein
Fine needle aspirate
FINGERNAIL
Fistula
Fluid
Fluid Abdomen
Fluid Amniotic
Fluid Aspiration
Fluid Joint
Fluid PACREATIC
Fluid PANCREATIC PSEUDO CYST
Fluid PARASPINAL
Fluid Pericardial
Fluid Peritoneal
Fluid Pleural
FNAC fluid
Foley Specimen
Foot Abscess
FOOT TISSUE
FOOT WOUND SWAB
Furuncle
Gall Bladder
GALL BLADDER TISSUE
Gallbladder
Gastric aspirate
Gastrointestinal
Genital
Genitourinary
GINGIVAL SWAB
GLUTEAL ABSCESS
GLUTEAL REGION PRESSURE SORE
Graft Site
GRANULATION TISSUE
Groshong Catheter
Hair
HD CATHETER
HD CATHETER SWAB
HD catheter Tip
HD LINE
HD Tip
Heart Valve
Hematoma
HEMODIALYSIS CATHETER TIP
HEPATIC FLUID
HERNIA SAC
Hickman Catheter
HIGH VAGINAL SWAB
ICD DRAIN
ICD DRAIN FLUID
ICD DRAIN SWAB
ICD FLUID
IJV CATHETER TIP
IJV LINE
ILEAL PERFORATION FLUID
Implanted Port
Incision
Induced Sputum
Indwelling Catheter
INFECTED TISSUE
INGUINAL ABSCESS
Inguinal Swab
INTERNAL JUGULAR CATHETER TIP
INTRAABDOMINAL FLUID
INTRAJUGULAR CATHETER
INTRAPERITONEAL PUS
Intraventricular Catheter
ISCHIORECTAL ABSCESS
IUD Intrauterine Device
Joint Fluid
JP DRAIN CATHETER
Kidney
KNEE ASPIRATE
Knee Fluid
Lacrimal sac
LARYNGOSCOPIC SUCTION
Left Synovium
Left Upper
Lesion
LESION SWAB
Leuken's specimen
Leuken's Tube

Liver abscess
LIVER TISSUE
LOCHIA FROM VAGINA
LOW VAGINAL SWAB
Lower respiratory tract fluid
Lumbar Cath
Lumbar Catheter
LUMBAR FLUID ASPIRATE
Lumbar Puncture

Lung BIOPSY
Lymph Node
Lymph Node Aspirate
Lymph Node Cervical
Lymph Node Inguinal
Lymph Node Mediastinal
Mandible
MASTOID ABSCESS
Maxillary
Maxillary Sinus
Mediastinal
Mediastinum
Membranes
Middle ear
Middle Ear Fluid
Miscellaneous sample
Mitral Valve
MUCOSA
Myco/F for AFB
Nail
Nares
Nasal
NASAL ABSCESS
Nasal Sinus
Nasal swab
NASAL WASH
Nasal Washing
Nasopharyngeal aspirate
Nasopharyngeal Swab
Nasopharynx
NASOTRACHEAL ASPIRATE
Neck Abcess
NECK ABSCESS
NECROTIC TISSUE
Nephrostomy
NIPPLE DISCHARGE
NIPPLE SWAB
NON HEALING WOUND SWAB
None
Nose
Nose Swab
NOT PROVIDED
OCULAR SWAB
OMENTAL BIOPSY
Ommaya Reservoir
Oral cavity
ORAL SECRETIONS
ORAL SWAB
Organ
Other (specify in additional information)
OVARIAN PUS
Pancreatic Fluid
PANCREATIC NECROTIC TISSUE
Pancreatic Pseudocyst
Pancreatic Pseudocyst
Pancreatic Pseudocyst Fluid
PARACENTESIS
Paracentesis Fluid
PARAESOPHAGEAL FLUID
Paranasal sinus
Parotid
PAROTID GLAND
PCN DRAIN FLUID
PCN PUS
PD EFFLUENT
PEG
PEG SWAB
Pelvic
Pelvic Fluid
Pelvic Mass
Pelvis
Penile Discharge
PENIS SWAB
Perianal
Perianal Abscess
PERIANAL NECROTIC SKIN
PERIANAL PUS SWAB
PERIANAL SWAB
Pericardial Fluid
PERICARDIAL FLUID
PERINEAL ABSCESS
PERINEAL REGION
Perineal Right Vulva
Perineal Tissue
PERIPANCREATIC ABSCESS
PERIPANCREATIC FLUID
PERITONEAL CAVITY PUS
PERITONEAL COLLECTION
PERITONEAL DIALYSIS CATHETER
Peritoneal exit site
Peritoneal Fluid
Peritoneal Fluid DRAIN
PERITONEAL FLUID SWAB
PERITONEAL PUS
PERMACATH
PHARYNGEAL ABSCESS
PICC
PICC Line
PICC LINE TIP
PIGTAIL ASPIRATION
PIGTAIL DRAIN FLUID
PIGTAIL DRAIN PUS
PIGTAIL FLUID
Pilonidal Cyst
Placenta
PLACENTA TISSUE
PLACENTAL MEMBRANE
PLATELET CONCENTRATES
Pleural Fluid
PLEURAL FLUID CHEST TUBE
Pleural Fluid Left
Pleural Fluid Right
PLEURAL FLUID SWAB
Popliteal Space
PORTA-CATH
Prostate
PROSTATE ABSCESS
PROSTATE SECRETIONS
Prostatic Massage
Pus
Rectal Drainage
Rectal swab
Rectal swab
RECTO/VAGINAL SWAB
Renal Cyst
Renal Cyst Fluid
Renal stone
Respiratory
Respiratory Lower
Respiratory Lower CF
Respiratory Upper
Respiratory Upper CF
Retro Peritoneal Fluid
RETROPERITONEAL FLUID
Retroperitoneum
SCRAPING
SCROTAL ABSCESS
SCROTAL FLUID
SCROTAL PUS
SCROTAL WALL ABSCESS
Scrotum Abscess
Secretion
Semen
Shunt
Shunt Fluid
Sinus
SINUS ASPIRATE
SINUS CONTENTS
SINUS SWAB
Skin biopsy
SKIN SWAB
SLOUGH
Soft Tissue
Specimen source not given.
Specimen Type/Source
SPINAL ASPIRATION
Spinal Fluid
Sputum
Sputum expectorated
Sputum Induced
Sputum, induced
Sterile fluid
STERNAL WOUND SWAB
Stool
Straight Cath
Straight Cath Urine
SUBCLAVIAN CATHETER
Subdural Fluid
SUBMANDIBULAR ABSCESS
Suction tip
SUPRAPUBIC ASPIRATE
Suprapubic Specimen
SURGICAL SITE WOUND SWAB
Surgical wound
SURGICAL WOUND SWAB
Swab
Synovial Fluid
SYNOVIAL TISSUE
Thoracentesis Fluid
Throat Swab
Tip
Tissue
Tissue/biopsy
TKR IMPLANT
Toenail
TPN LINE
TRACHEAL ASPIRATE
Tracheal Aspirate
Tracheal Secretion
Tracheal Secretions
TRACHEAL SUCTION
TRACHEOSTOMY SECRETION
Tracheostomy Site
TRACHEOSTOMY SWAB
TRACHOSTOMY SUCTION
Transbronchial biopsy
Transplant
Transtracheal Aspirate
Transtracheal secretion
TT SECRETION
TT TIP
Tumor Mass
Ulcer
Ulcer SWAB
UMBILICAL TIP
Unknown
Ureter
URETHRAL SWAB
Urine
Urine Cath
Urine Catheter
Urine catheterized
Urine CC
Urine Clean Catch
URINE PCN
Urine suprapubic tap
USG FLUID ASPIRATION
Vaginal Discharge
Vaginal Swab
Valve
Vascular Catheter
VENOUS ULCER
Ventricular Catheter Tip
Ventricular CSF
VENTRICULAR SHUNT CATHETER
Vesicle
Vitreous Fluid
Wound
Wound Drainage
Wound surgical
Wound Swab
WOUND SWAB FROM SURGICAL SITE
WOUND TISSUE
